Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV 1_280		Cond		Conc B		Injection		Run Log		Fraction		UV 1_280_CUT_TEMP@100,BASEM		UV 2_350	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU	ml	mAU
0.045158	0.889857	0.093097	87.584991	0.47668	0							0.04794	-2.932353	0.236916	-0.147914
0.045657	0.888615	0.094096	87.56308	0.481674	0							0.048439	-2.932062	0.239413	-0.151214
0.046156	0.887379	0.095095	87.54129	0.486669	0							0.048938	-2.931771	0.24191	-0.15542
0.046656	0.886164	0.096093	87.519592	0.491663	0							0.049438	-2.93148	0.244407	-0.159476
0.047155	0.884933	0.097092	87.498405	0.496657	0							0.049937	-2.931189	0.246903	-0.163622
0.047654	0.883712	0.098091	87.477661	0.501652	0							0.050436	-2.930945	0.2494	-0.169019
0.048154	0.882493	0.09909	87.457253	0.506646	0							0.050936	-2.930701	0.251897	-0.173301
0.048653	0.881291	0.100088	87.437469	0.511641	0							0.051435	-2.930457	0.254394	-0.175062
0.049153	0.880081	0.101087	87.418106	0.516635	0							0.051935	-2.930213	0.256891	-0.178052
0.049652	0.878868	0.102086	87.399193	0.521629	0							0.052434	-2.92997	0.259388	-0.1796
0.050151	0.87767	0.103085	87.38063	0.526624	0							0.052933	-2.929726	0.261885	-0.182184
0.050651	0.876478	0.104083	87.36232	0.531618	0							0.053433	-2.929482	0.264381	-0.184717
0.05115	0.875481	0.105082	87.344536	0.536613	0							0.053932	-2.929238	0.266878	-0.186919
0.051649	0.874574	0.106081	87.32711	0.541607	0							0.054431	-2.928994	0.269375	-0.189626
0.052149	0.873649	0.10708	87.31012	0.546601	0							0.054931	-2.92875	0.271872	-0.192412
0.052648	0.872729	0.108078	87.293831	0.551596	0							0.05543	-2.928431	0.274369	-0.193534
0.053147	0.871817	0.109077	87.278107	0.55659	0							0.05593	-2.928111	0.276866	-0.195584
0.053647	0.870999	0.110076	87.262856	0.561585	0							0.056429	-2.927791	0.279362	-0.195359
0.054146	0.870553	0.111074	87.248116	0.566579	0							0.056928	-2.927472	0.281859	-0.195091
0.054646	0.870172	0.112073	87.234291	0.571573	0							0.057428	-2.927152	0.284356	-0.197895
0.055145	0.869795	0.113072	87.221161	0.576568	0							0.057927	-2.926832	0.286853	-0.200491
0.055644	0.869412	0.114071	87.208588	0.581562	0							0.058426	-2.926512	0.28935	-0.202843
0.056144	0.868994	0.115069	87.196869	0.586557	0							0.058926	-2.926193	0.291847	-0.204557
0.056643	0.868247	0.116068	87.185898	0.591551	0							0.059425	-2.925873	0.294344	-0.20512
0.057142	0.867329	0.117067	87.175697	0.596545	0							0.059925	-2.925554	0.29684	-0.204917
0.057642	0.866391	0.118066	87.166107	0.60154	0							0.060424	-2.925287	0.299337	-0.206504
0.058141	0.865463	0.119064	87.157631	0.606534	0							0.060923	-2.925021	0.301834	-0.205557
0.058641	0.864565	0.120063	87.150108	0.611529	0							0.061423	-2.924755	0.304331	-0.205021
0.05914	0.863918	0.121062	87.142746	0.616523	0							0.061922	-2.924488	0.306828	-0.204718
0.059639	0.86362	0.122061	87.136208	0.621517	0							0.062421	-2.924222	0.309325	-0.203827
0.060139	0.863317	0.123059	87.130638	0.626512	0							0.062921	-2.923956	0.311822	-0.200897
0.060638	0.863015	0.124058	87.125572	0.631506	0							0.06342	-2.923689	0.314318	-0.199504
0.061137	0.862718	0.125057	87.1213	0.6365	0							0.063919	-2.923423	0.316815	-0.200734
0.061637	0.862386	0.126056	87.118027	0.641495	0							0.064419	-2.923157	0.319312	-0.20058
0.062136	0.861825	0.127054	87.115417	0.646489	0							0.064918	-2.92289	0.321809	-0.202519
0.062636	0.860951	0.128053	87.113495	0.651484	0							0.065418	-2.922615	0.324306	-0.200273
0.063135	0.860073	0.129052	87.112343	0.656478	0							0.065917	-2.922338	0.326803	-0.198854
0.063634	0.859192	0.130051	87.111916	0.661472	0							0.066416	-2.922063	0.3293	-0.20002
0.064134	0.858306	0.131049	87.112595	0.666467	0							0.066916	-2.921787	0.331796	-0.199794
